BULAN;TAHUN;PPH;PPN;PPHOP;PPHBDN
11;2016;20/12/2016;03/01/2017;;
12;2016;20/01/2017;31/01/2017;;
0;2017;;;31/03/2018;30/04/2018
1;2017;20/02/2017;28/02/2017;;
2;2017;20/03/2017;31/03/2017;;
3;2017;20/04/2017;02/05/2017;;
4;2017;22/05/2017;31/05/2017;;
5;2017;20/06/2017;03/07/2017;;
6;2017;20/07/2017;31/07/2017;;
7;2017;21/08/2017;31/08/2017;;
8;2017;20/09/2017;02/10/2017;;
9;2017;20/10/2017;31/10/2017;;
10;2017;20/11/2017;30/11/2017;;
11;2017;20/12/2017;02/01/2018;;
12;2017;22/01/2018;31/01/2018;;
0;2018;;;01/04/2019;02/05/2019
1;2018;20/02/2018;28/02/2018;;
2;2018;20/03/2018;02/04/2018;;
3;2018;20/04/2018;30/04/2018;;
4;2018;21/05/2018;31/05/2018;;
5;2018;26/06/2018;02/07/2018;;
6;2018;20/07/2018;31/07/2018;;
7;2018;20/08/2018;31/08/2018;;
8;2018;20/09/2018;01/10/2018;;
9;2018;22/10/2018;31/10/2018;;
10;2018;21/11/2018;30/11/2018;;
11;2018;20/12/2018;31/12/2018;;
12;2018;21/01/2019;31/01/2019;;
0;2019;;;30/04/2020;30/04/2020
1;2019;20/02/2019;28/02/2019;;
2;2019;20/03/2019;01/04/2019;;
3;2019;22/04/2019;02/05/2019;;
4;2019;20/05/2019;31/05/2019;;
5;2019;20/06/2019;01/07/2019;;
6;2019;22/07/2019;31/07/2019;;
7;2019;20/08/2019;02/09/2019;;
8;2019;20/09/2019;30/09/2019;;
9;2019;21/10/2019;31/10/2019;;
10;2019;26/11/2019;02/12/2019;;
11;2019;20/12/2019;31/12/2019;;
12;2019;20/01/2020;07/02/2020;;
0;2020;;;31/03/2021;30/04/2021
1;2020;28/02/2020;02/03/2020;;
2;2020;30/04/2020;31/03/2020;;
3;2020;20/04/2020;30/04/2020;;
4;2020;20/05/2020;02/06/2020;;
