KODE;NAMA;SEKTOR
05102;GASIFIKASI BATU BARA DI LOKASI PENAMBANGAN;B
05200;PERTAMBANGAN LIGNIT;B
06100;PERTAMBANGAN MINYAK BUMI;B
06201;PERTAMBANGAN GAS ALAM;B
06202;PENGUSAHAAN TENAGA PANAS BUMI;B
07101;PERTAMBANGAN PASIR BESI;B
07102;PERTAMBANGAN BIJIH BESI;B
07210;PERTAMBANGAN BIJIH URANIUM DAN THORIUM;B
07291;PERTAMBANGAN BIJIH TIMAH;B
07292;PERTAMBANGAN BIJIH TIMAH HITAM;B
07293;PERTAMBANGAN BIJIH BAUKSIT;B
07294;PERTAMBANGAN BIJIH TEMBAGA;B
07295;PERTAMBANGAN BIJIH NIKEL;B
07296;PERTAMBANGAN BIJIH MANGAN;B
07299;PERTAMBANGAN BAHAN GALIAN LAINNYA YANG TIDAK MENGANDUNG BIJIH BESI;B
07301;PERTAMBANGAN EMAS DAN PERAK;B
07309;PERTAMBANGAN BIJIH LOGAM MULIA LAINNYA;B
08101;PENGGALIAN BATU HIAS DAN BATU BANGUNAN;B
08102;PENGGALIAN BATU KAPUR/GAMPING;B
08103;PENGGALIAN KERIKIL (SIRTU);B
08104;PENGGALIAN PASIR;B
08105;PENGGALIAN TANAH DAN TANAH LIAT;B
08106;PENGGALIAN GIPS;B
08911;PERTAMBANGAN BELERANG;B
08912;PERTAMBANGAN FOSFAT;B
08913;PERTAMBANGAN NITRAT;B
08914;PERTAMBANGAN YODIUM;B
08915;PERTAMBANGAN POTASH (KALIUM KARBONAT);B
08919;PERTAMBANGAN MINERAL, BAHAN KIMIA DAN BAHAN PUPUK LAINNYA;B
08920;EKSTRAKSI TANAH GAMBUT (PEAT);B
08930;EKSTRAKSI GARAM;B
08991;PERTAMBANGAN BATU MULIA;B
08992;PENGGALIAN BATU BAHAN INDUSTRI;B
08993;PERTAMBANGAN ASPAL ALAM;B
08994;PENGGALIAN ASBES;B
08999;PERTAMBANGAN DAN PENGGALIAN LAINNYA YTDL;B
09100;JASA PERTAMBANGAN MINYAK BUMI DAN GAS ALAM;B
09900;JASA PERTAMBANGAN DAN PENGGALIAN LAINNYA;B
10110;KEGIATAN RUMAH POTONG DAN PENGEPAKAN DAGING BUKAN UNGGAS;C
10120;KEGIATAN RUMAH POTONG DAN PENGEPAKAN DAGING UNGGAS;C
